text,rating,movie,label
Cute story and animation but movie theater sound was way to loud!,4.0,migration_2023,positive
they never get any big then what the are in the fisr one.,3.5,land_before_time_x_the_great_longneck_migration,positive
So much fun. Surprised us with engaging storyline. Funny lines and adorable animations.,5.0,migration_2023,positive
A beautiful documentary.,3.5,winged_migration,positive
Migration is a very good movie. I really enjoyed it.,4.0,migration_2023,positive
The movie is a triumph of modern cinematography and bird-raising.,5.0,winged_migration,positive
"A great film, but not the type of movie that rivets me.",3.5,winged_migration,positive
Watching this film is the closest I've experienced to flying. Also a great message about saving our environment. Beats March of the Penguins hands down.,5.0,winged_migration,positive
"Winged Migration really began a spree of environmentally themed documentaries. This gorgeously filmed journey of a bird's annual flight was meticulously brought to life by directors Perrin, Debats and Cluzaud. This certainly helped lead the way for docs like Earth and March of the Penguins. This is a tremendous film to be seen in a theatre.",4.5,winged_migration,positive
This movie is hilarious with great one liners. The movie never has a dull moment from beginning to end. Cast of characters that lend their voices to this movie are great.,5.0,migration_2023,positive
"One of the worst films that I ' ve run across in recent years. The floor be awful, every bit well as the fibre and voice acting. The aliveness was promising but finally cost just now. .. meh. A waste of time.",1.0,augmented,negative
Good but the plot is kind of like rio ngl.,4.0,migration_2023,positive
It was ADORABLE and funny.,4.5,migration_2023,positive
"Fun, respectable - time Illumination animation is pretty generic. Migration is a good time. It had likable enough characters, is impressively animated, and darkly humorous at times, which I enjoy. It ’ s just nothing special. The characters, while pleasant, be cliched, and the plot of ground be nothing more than than a basic vacation / adventure chronicle, with just a bunch of random series of events loosely stringing together. But despite it willingness to be insistently unspecial, Migration charms and is just a good enough clock time to recommend.",3.0,augmented,neutral
Excellent documentary and the score by Danny Elfman is incredible!,5.0,winged_migration,positive
"NICE TITLE. just now pull the leg of. information technology ' s a little square. after watching planet dry land with better jibe and extend information, this doesn ' t quite match up with it.",3.0,augmented,neutral
i liked it. It was colourful a had great characters.,5.0,migration_2023,positive
"One of the worst films that I've seen in recent years. The story is awful, as well as the characters and voice acting. The animation was promising but ultimately is just...meh. A waste of time.",0.5,migration_2023,negative
Just doesnt do it for me operating room in all probability anyone else,1.0,augmented,negative
"Awesome cinematography, a little slow for me since 1 act not take a prominent interest in birds.",3.0,augmented,neutral
Was much better than anticipated. Heartwarming. Would watch again.,4.0,migration_2023,positive
No lie i definitely thought this film was going to be mediocre but I'm glad i was wrong. Lots of funny moments. Good story. Hopefully there will be a sequel.,5.0,migration_2023,positive
classic children's tale,2.5,land_before_time_x_the_great_longneck_migration,neutral
One of the best documentaries I enjoy watching.,4.5,winged_migration,positive
Very interesting doc.,4.5,winged_migration,positive
"A family of ducks lives on a pond in a New England forest. Unlike most ducks, they are happy and content just living within the confines of their pond. The kids, Dax and Gwen, want to migrate to Jamaica, but their overprotective father (Mack) will not even let them outside the pond. However after a flock of migrating ducks invites them to join them, Mack says no just is finally persuaded by his wife Pam and Uncle and they begin their flight to Jamaica. Well they get lost in a rainstorm and go in the wrong direction and end up in New York City. They meet a pigeon named Chump and she leads them to a her friend, Delroy, a Scarlet Macaw from Jamaica. Delroy has been caged by a ruthless master chef whose specialty is Duck a L orange river. They manage to release Delroy, who joins them as their templet. But the evil chief is after them. He wants his precious Macaw back and he wants the duck family for dinner. "" He ' s like a predator, but instead of eating you, he serves you to a bunch of lazier predators "" - Chump Migration is a OK film. The story is predictable and plays to a greater extent like a TV series. It does have a few laughs and Awkwafina is always good. Nothing special, just now a mildly entertainingly family film. Cast - Elizabeth Banks, Awkwafina, Kumail Nanjiani, Keegan - Michael Key, Danny DeVito.",3.0,augmented,neutral
"Very captivating, enjoyed every minute!",5.0,winged_migration,positive
Just doesnt do it for me or probably anyone else,1.5,land_before_time_x_the_great_longneck_migration,negative
"Fun, in effect - time Illumination animation is pretty generic. Migration is a good time. Information technology had likable enough characters, live impressively animated, and darkly humorous at times, which 1 enjoy. It ’ s just nothing special. The characters, while pleasant, are cliched, and the plot is nothing more than than a introductory vacation / adventure story, with just a bunch of random serial of events loosely string together. But despite its willingness to be insistently unspecial, Migration charms and be just a good enough time to recommend.",3.0,augmented,neutral
The best parts were shown in the house trailer. This movie wasn ' t funny or cute (except for the very final scene ). This movie scared my 6 year old granddaughter and her 7 twelvemonth old admirer. I wouldn ' t recommend this to other parents.,1.0,augmented,negative
"I would 👀 this as my favourite 🎬 from Illumination. Things were 😂. It was about dreams & freedom. 🦆& 🦜 were almost trapped into being food by the bad guy. Mind you, it does seem rather similar to Aardman's Chicken Run & Rio (they are trying to break free birds & they fly to South America). Even the animation hit different, similar to Disney's wish, but better.",4.0,migration_2023,positive
"For Illumination standards, this was a pretty dang solid time. Cute fun family adventure road trip for the whole family.",3.5,migration_2023,positive
It feel comparable a tale that have represent told many times before. Little children volition still love the movie.,3.0,augmented,neutral
"The super Mario Bros movie equal the last film of 2023, but for migration just to ruin information technology all like all gone no promise this movie gives a real generic story and a cast of annoying characters who have nothing good story to offer, but the animation is nice. My only recommendation be to just stay away from it, you ’ re better off with Rio, however, before the movie will start, they read a coyote versus acne, short called moon, which is stupid and humorous, and possibly the worst thing Chris Meledandri has ever made cough cough. Excuse maine time to take out the trash indeed this crap only deserve the animat seal of garbage",1.0,augmented,negative
"Fascinating look at birds, even for the non-bird watcher. This movie alludes briefly to how pollution and other human activities affect birds - the reality is human technology and constructions and engineering has resulted in literally billions of birds being killed over the years. This film helps remind people the beauty of birds, especially before we lose more species.",4.0,winged_migration,positive
"Once again, on my kid scale... is LBT the place that actors go to when their careers are bottoming out or about to revive? Keiffer Sutherland is perfect in the role of Little Foot's dad!",3.5,land_before_time_x_the_great_longneck_migration,positive
"Ane see this movie on a route trip to Co. Iodine didn ' t really savour it, and the making of ruin it completely",1.0,augmented,negative
Fascinating. Mesmerizing. Brilliant filmmaking.,4.5,winged_migration,positive
"Blah. This is actually one I watched, but honestly, I hardly remember anything about it. I remember the sleep stories and that's pretty much it after that.",2.0,land_before_time_x_the_great_longneck_migration,negative
These be then vexatious. ..,1.0,augmented,negative
"Winged Migration (2003) -- [7.0] -- How they shot ""Winged Migration"" is almost more fascinating than the subject matter. The filmmakers rigged camera equipment to ultralight planes and imprinted with hatching birds of various species to get as close to their subjects as possible. The resulting cinematography is breathtaking, especially if you love birds. The film focuses solely on the migratory patterns of birds all around the world, so the shots of birds flying -- while mesmerizing for a while -- can get old. The film also shows a few points of danger in the birds' everyday lives, including several birds shot out of the sky by hunters, one who gets stuck in factory sludge, and one with a broken wing who gets devoured by crabs. As a bird lover who doesn't want to see these things, I was at least thrilled with the part where a captured blue parrot is wise enough to escape a poacher's cage. The filmmakers don't linger too long on any of the tragedies, thankfully. Overall, more of a technical marvel than a revealing educational piece -- but gorgeous to look at.",3.5,winged_migration,positive
"The picture taking is awe inspiring, just rest is just. . Beautiful barb dont make a film, it needs to be told in some kind of floor build. Information technology ' s a shame but it ' s such a waste of this kind of footage.",1.0,augmented,negative
"Captivating movie, amazingly shot.",4.0,winged_migration,positive
Beautiful but could have been 60 minutes instead of 90.,3.5,winged_migration,positive
"Only the French could make such a beautiful film so very, frustratingly odd. With no offence to French people everywhere.",3.0,winged_migration,neutral
"I have been alive for 52 years and I have never wasted as much time watching this film than any other time on earth even my nans funeral was more exciting. This is the worst written, acted and produced ‘film’ ever. I don’t know if the aim of the directors was to make you cry after the film but they did a good job at it. I would rather shit in my hands and clap than watch this again. Apart from that great film 👌",1.0,migration_2023,negative
This was a good picture. Unity enjoy it.,3.0,augmented,neutral
Such a sweet movie! It teaches an important lesson about stepping outside your comfort zone and embracing the unknown. I was smiling from ear to ear!,5.0,migration_2023,positive
It’s for little little kids. I would say like anyone older than 7 would not like this movie. But good animation.,1.5,migration_2023,negative
a simple brilliance with a touch of sadness.,5.0,winged_migration,positive
"Sport, good - time Illumination animation is pretty generic. Migration is a good metre. It had likable enough characters, is impressively animated, and darkly humorous at times, which I enjoy. It ’ s just nada special. The characters, while pleasant, are cliched, and the secret plan is nothing more than a basic holiday / adventure story, with just a bunch of random series of events broadly speaking stringing together. But despite its willingness to be insistently unspecial, Migration magic spell and is just a good adequate time to recommend.",3.0,augmented,neutral
the land before time movies have been dun waay to many times and i am gettin a bit sick of watchin dem..the first one ain't so bad...but i wich dey didn't have to make another!,2.0,land_before_time_x_the_great_longneck_migration,negative
Good family film for movie night and was enjoyable and funny.,3.5,migration_2023,positive
It's boring and predictable. I didn't laugh once.,2.0,migration_2023,negative
i cry when one see this!,1.0,augmented,negative
My dog gives this movie 2 paws up.,3.5,winged_migration,positive
Not as many ducks as I would have liked.,4.0,winged_migration,positive
Its a really good movie.,5.0,migration_2023,positive
It ’ s for little niggling kid. I would pronounce like anyone aged than vii would not like this movie. Only good animation.,1.0,augmented,negative
